title,vote_count,vote_average,year,genres,id,overview,est,hybrid_score
The Martian,7442.0,7.6,2015,"['drama', 'adventure', 'sciencefiction']",286217,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",4.19926186744234,4.879409493953872
Iron Man,8951.0,7.4,2008,"['action', 'sciencefiction', 'adventure']",1726,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",4.196892724870546,4.837514179896437
The City of Lost Children,308.0,7.6,1995,"['fantasy', 'sciencefiction', 'adventure']",902,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",4.137096634844146,4.829677307875317
Guardians of the Galaxy,10014.0,7.9,2014,"['action', 'sciencefiction', 'adventure']",118340,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",4.041237680745069,4.812990144596055
The Avengers,12000.0,7.4,2012,"['sciencefiction', 'action', 'adventure']",24428,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",4.127021272228291,4.781617017782632
Avengers: Age of Ultron,6908.0,7.3,2015,"['action', 'adventure', 'sciencefiction']",99861,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",4.058301163967295,4.706640931173836
X-Men: First Class,5252.0,7.1,2011,"['action', 'sciencefiction', 'adventure']",49538,"Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were arch-enemies, they were closest of friends, working together with other mutants (some familiar, some new), to stop the greatest threat the world has ever known.",4.104898849718132,4.703919079774505
Babylon 5: In the Beginning,46.0,7.3,1998,"['action', 'drama', 'sciencefiction', 'adventure']",10940,"Londo Mollari, the Centauri Emperor, recounts the initial contact between the Humans and Minbari, which resulted in a major incident and subsequent war, for an eager pair of youngsters wanting a story about love and conflict.",3.960928565423858,4.628742852339086
Flight of the Navigator,227.0,6.9,1986,"['family', 'sciencefiction', 'adventure']",10122,"This 1986 Disney adventure tells the story of 12-year-old David who lives with his family in Fort Lauderdale, Fla. When he awakens from being accidentally knocked out in the forest near his home, he finds that eight years have passed. His family is overjoyed to have him back, but just as perplexed as he is by the fact that he hasn't aged. When a NASA scientist discovers a UFO nearby, David gets the chance to unravel the mystery and recover the life he lost.",3.871924040834265,4.477539232667412
Total Recall,1745.0,7.1,1990,"['action', 'adventure', 'sciencefiction']",861,"Construction worker Douglas Quaid discovers a memory chip in his brain during a virtual-reality trip. He also finds that his past has been invented to conceal a plot of planetary domination. Soon, he's off to Mars to find out who he is and who planted the chip.",3.7976710312703363,4.458136825016269
